author,datasets_cited,num_datasets
"Joseph Fruchter, Tal Linzen, Masha Westerlund, Alec Marantz",on007763,1
"Graham Flick, Liina Pylkkänen",on007763,1
"Esti Blanco-Elorrieta, Itamar Kastner, Karen D. Emmorey, Liina Pylkkänen",on007763,1
"Douglas K. Bemis, Liina Pylkkänen",on007763,1
"Joseph Fruchter, Linnaea Stockall, Alec Marantz",on007763,1
"Linnaea Stockall, Andrew Stringfellow, Alec Marantz",on007763,1
"Feng Rong, Jose Luis Contreras-Vidal",on007763,1
"Teon L Brooks, Daniela Cid de Garcia",on007763,1
"Laura Gwilliams, Alec Marantz, David Poeppel, Jean-Rémi King","nm000180,nm000229,on007763,on007870",4
"Suhail Matar, Julien Dirani, Alec Marantz, Liina Pylkkänen",on007763,1
"Laura Gwilliams, Gwyneth A. Lewis, Alec Marantz",on007763,1
"María Florencia Assaneo, Johanna Maria Rimmele, Joan Orpella, Pablo Ripollés, Ruth de Diego‐Balaguer, David Poeppel",on007763,1
"Adina Williams, Samir Reddigari, Liina Pylkkänen",on007763,1
"Ryan M.C. Law, Liina Pylkkänen",on007763,1
"Gwyneth A. Lewis, David Poeppel",on007763,1
"David E. Huber, Xing Tian, Tim Curran, Randall C. O’Reilly, Brion Woroch",on007763,1
"Esti Blanco-Elorrieta, Nai Ding, Liina Pylkkänen, David Poeppel",on007763,1
"Kyriaki Neophytou, Christina Manouilidou, Linnaea Stockall, Alec Marantz",on007763,1
"Timothy Leffel, Miriam G. Lauter, Masha Westerlund, Liina Pylkkänen",on007763,1
"Esti Blanco-Elorrieta, Laura Gwilliams, Alec Marantz, Liina Pylkkänen",on007763,1
"Dylan Alexander Simon, Gwyneth A. Lewis, Alec Marantz",on007763,1
"Yanzhu Li, Huan Luo, Xing Tian",on007763,1
"Yoshiaki Adachi, Jun Kawai, Yasuhiro Haruta, Masakazu Miyamoto, Shigenori Kawabata, Kensuke Sekihara, Gen Uehara",on007763,1
"Christian J. Brodbeck, Liina Pylkkänen",on007763,1
"Song‐Hee Kim, Liina Pylkkänen",on007763,1
"Chang Cai, Jiajing Xu, Jayabal Velmurugan, Robert C. Knowlton, Kensuke Sekihara, Srikantan S. Nagarajan, Heidi E. Kirsch",on007763,1
"Jixing Li, Liina Pylkkänen",on007763,1
"Eddy J. Davelaar, Xing Tian, Christoph T. Weidemann, David E. Huber",on007763,1
"Jacqueline Fallon, Liina Pylkkänen","on007753,on007763",2
"Julien Dirani, Liina Pylkkänen",on007763,1
"Eline R. Kupers, Helena X. Wang, Kaoru Amano, Kendrick Kay, David J. Heeger, Jonathan A. Winawer","on003004,on007763",2
"Kensuke Sekihara, Srikantan S. Nagarajan",on007763,1
"Graham Flick, Osama Abdullah, Liina Pylkkänen",on007763,1
"Maryam Honari-Jahromi, Brea Chouinard, Esti Blanco-Elorrieta, Liina Pylkkänen, Alona Fyshe",on007763,1
"Phoebe Gaston, Alec Marantz",on007763,1
"Linnaea Stockall, Christina Manouilidou, Laura Gwilliams, Kyriaki Neophytou, Alec Marantz",on007763,1
"Masataka Tanaka, Takufumi Yanagisawa, Ryohei Fukuma, Naoki Tani, Satoru Oshino, Masahito Mihara, Noriaki Hattori, Yuta Kajiyama, Ryota Hashimoto, Manabu Ikeda, Hideki Mochizuki, Haruhiko Kishima","on002778,on007763",2
"Kimberly Leiken, Liina Pylkkänen",on007763,1
"Masashige Miyamoto, Jun Kawai, Yoshiaki Adachi, Y. Haruta, Kazuo Komamura, Gen Uehara",on007763,1
"Suhail Matar, Liina Pylkkänen, Alec Marantz",on007763,1
"Nayef Ahmar, Jonathan Z. Simon",on007763,1
